iter	RMSE
0	14.67703287
1	14.24583009
2	13.81597034
3	13.43870635
4	13.02787893
5	12.66144587
6	12.3004054
7	11.97712243
8	11.67602208
9	11.33856828
10	11.01958075
11	10.74706965
12	10.46608035
13	10.17767367
14	9.925852166
15	9.657251253
16	9.397643554
17	9.181362103
18	8.946348588
19	8.722807168
20	8.516112141
21	8.319945789
22	8.124583629
23	7.957564282
24	7.767176275
25	7.58455383
26	7.418343908
27	7.261139441
28	7.11598101
29	6.965627262
30	6.826287253
31	6.68558288
32	6.549726675
33	6.417184358
34	6.290078755
35	6.180370047
36	6.063945638
37	5.963003348
38	5.864117053
39	5.757834638
40	5.662535636
41	5.570464953
42	5.479465902
43	5.395842906
44	5.312397963
45	5.23208905
46	5.155572899
47	5.082560593
48	5.019078234
49	4.950222897
50	4.888678092
51	4.822256529
52	4.76353626
53	4.70836123
54	4.652535133
55	4.600117369
56	4.543542112
57	4.49721067
58	4.454721084
59	4.412400764
60	4.36610585
61	4.327142102
62	4.28267676
63	4.241837046
64	4.202076176
65	4.167652605
66	4.1341474
67	4.103086644
68	4.077395225
69	4.049339934
70	4.023427385
71	3.996577492
72	3.973038139
73	3.950605713
74	3.927365453
75	3.910344409
76	3.888661281
77	3.871077392
78	3.851208714
79	3.834955322
80	3.817895041
81	3.797483599
82	3.778965629
83	3.759321276
84	3.745431156
85	3.728750037
86	3.721699389
87	3.708492247
88	3.693436805
89	3.680931009
90	3.667065606
91	3.655406505
92	3.64321241
93	3.636113693
94	3.623587105
95	3.610024223
96	3.59840926
97	3.58814181
98	3.575835909
99	3.567131674
100	3.557203854
101	3.546434642
102	3.537376426
103	3.529371618
104	3.521324872
105	3.513559144
106	3.504865535
107	3.497458547
108	3.48801378
109	3.480310785
110	3.473538468
111	3.46545726
112	3.458650439
113	3.454969363
114	3.449105899
115	3.4425262
116	3.435197993
117	3.428497479
118	3.42413426
119	3.419514358
120	3.412887638
121	3.406637157
122	3.40064627
123	3.395572729
124	3.39120505
125	3.385816564
126	3.380721979
127	3.376075274
128	3.374688424
129	3.368243862
130	3.364297377
131	3.361954239
132	3.358029471
133	3.354460391
134	3.350035556
135	3.347903364
136	3.34415413
137	3.339568457
138	3.336068893
139	3.333389186
140	3.328899047
141	3.326666726
142	3.323293588
143	3.31814677
144	3.317271075
145	3.313744906
146	3.310078308
147	3.307415062
148	3.305267651
149	3.302244466
150	3.296291167
151	3.291844659
152	3.288463251
153	3.28667126
154	3.282666138
155	3.278270655
156	3.275571045
157	3.272682582
158	3.268673921
159	3.263267003
160	3.260963038
161	3.257660482
162	3.25731761
163	3.254402648
164	3.248623079
165	3.244898079
166	3.241209231
167	3.234039978
168	3.232216818
169	3.230817066
170	3.229273099
171	3.22710869
172	3.224967231
173	3.222868728
174	3.220199669
175	3.216851261
176	3.212985352
177	3.210694608
178	3.208219786
179	3.207337083
180	3.204093225
181	3.200513261
182	3.198690913
183	3.19419709
184	3.191294478
185	3.189915227
186	3.187513516
187	3.183064695
188	3.179445747
189	3.17712593
190	3.173357775
191	3.171311442
192	3.167823309
193	3.16554195
194	3.160818063
195	3.157872881
196	3.154970585
197	3.153955646
198	3.150252796
199	3.146921551
200	3.145680551
201	3.142703148
202	3.140434478
203	3.139368631
204	3.138584694
205	3.137750842
206	3.135487618
207	3.133158815
208	3.130169754
209	3.128381905
210	3.127990872
211	3.127137797
212	3.125004117
213	3.121687951
214	3.118061517
215	3.117696319
216	3.117566285
217	3.11670409
218	3.114535778
219	3.112479262
220	3.109663318
221	3.107843011
222	3.104161214
223	3.102771434
224	3.099700792
225	3.098976065
226	3.097332788
227	3.095028197
228	3.09356866
229	3.090391322
230	3.088576783
231	3.085092255
232	3.084888835
233	3.081877274
234	3.080967212
235	3.079800902
236	3.078505308
237	3.077939241
238	3.075888657
239	3.075608584
240	3.072868932
241	3.072294515
242	3.072055826
243	3.071103676
244	3.069781734
245	3.069529058
246	3.068120501
247	3.066824977
248	3.065428439
249	3.064946073
250	3.063723842
251	3.061924291
252	3.058045641
253	3.056016955
254	3.055425907
255	3.054949752
256	3.054394902
257	3.051830817
258	3.050679581
259	3.049888371
260	3.048485034
261	3.047679917
262	3.046669826
263	3.042930758
264	3.04192494
265	3.041525551
266	3.039434407
267	3.037789337
268	3.035219199
269	3.032112119
270	3.031110925
271	3.030699854
272	3.026983227
273	3.024255358
274	3.022288463
275	3.021663814
276	3.020347035
277	3.018105422
278	3.015585618
279	3.015071034
280	3.013757102
281	3.009780232
282	3.008772842
283	3.005726521
284	3.001600566
285	2.998938342
286	2.997680022
287	2.996980328
288	2.996343835
289	2.993059734
290	2.990394626
291	2.989398673
292	2.986559095
293	2.981913529
294	2.980372457
295	2.979307842
296	2.974074916
297	2.973688507
298	2.972670018
299	2.969557913
300	2.964475795
301	2.962142411
302	2.960991254
303	2.960412409
304	2.954756208
305	2.951422766
306	2.95070237
307	2.948295559
308	2.947354292
309	2.947263235
310	2.94644435
311	2.945880656
312	2.945731724
313	2.943592107
314	2.941105194
315	2.938959911
316	2.935346243
317	2.933371609
318	2.929878619
319	2.928281329
320	2.927165145
321	2.924199535
322	2.920709049
323	2.917111797
324	2.916478226
325	2.91565281
326	2.913783243
327	2.911409388
328	2.910494219
329	2.908023168
330	2.904717487
331	2.903593026
332	2.902786817
333	2.900749801
334	2.899260779
335	2.89467792
336	2.893757625
337	2.890420688
338	2.885552053
339	2.881498272
340	2.880301847
341	2.877795758
342	2.877056294
343	2.874368332
344	2.871344474
345	2.870825119
346	2.866191718
347	2.863301596
348	2.86050397
349	2.859182448
350	2.856706331
351	2.854551811
352	2.853414505
353	2.849958398
