iter	Passed	Remaining
0	1	1050
1	2	1004
2	3	1055
3	3	995
4	4	936
5	5	881
6	5	849
7	6	822
8	7	805
9	8	792
10	8	806
11	9	802
12	10	791
13	11	784
14	11	776
15	12	772
16	13	765
17	14	765
18	14	765
19	16	796
20	16	790
21	17	779
22	18	773
23	18	765
24	19	761
25	20	758
26	21	759
27	21	757
28	22	751
29	23	748
30	23	747
31	24	744
32	25	740
33	25	738
34	26	740
35	27	742
36	28	741
37	29	748
38	30	744
39	30	740
40	31	734
41	32	735
42	33	736
43	33	734
44	34	733
45	35	730
46	36	730
47	36	727
48	37	723
49	38	723
50	38	725
51	39	727
52	40	724
53	41	723
54	42	733
55	43	735
56	44	736
57	45	735
58	46	734
59	46	732
60	47	731
61	48	728
62	48	726
63	49	723
64	50	722
65	50	720
66	51	717
67	52	714
68	52	711
69	53	712
70	54	709
71	54	708
72	56	711
73	56	709
74	57	715
75	58	712
76	59	710
77	59	708
78	60	708
79	61	705
80	62	703
81	62	701
82	63	706
83	64	703
84	65	701
85	65	700
86	66	697
87	67	695
88	68	696
89	68	696
90	69	695
91	70	692
92	70	691
93	71	689
94	72	688
95	72	686
96	73	686
97	74	683
98	74	681
99	75	680
100	76	678
101	76	676
102	77	677
103	78	676
104	79	674
105	79	673
106	80	671
107	81	670
108	82	672
109	83	671
110	83	670
111	84	666
112	84	661
113	85	660
114	85	657
115	86	655
116	86	654
117	87	652
118	88	654
119	89	654
120	89	653
121	90	651
122	90	648
123	91	646
124	92	645
125	92	641
126	93	639
127	93	638
128	94	635
129	94	635
130	95	633
131	96	632
132	96	630
133	97	629
134	98	628
135	98	625
136	99	624
137	99	622
138	100	620
139	100	617
140	100	614
141	101	612
142	101	608
143	102	607
144	102	605
145	103	604
146	103	602
147	104	600
148	104	598
149	105	600
150	106	599
151	107	600
152	108	599
153	108	598
154	109	597
155	110	596
156	110	594
157	111	592
158	111	590
159	111	587
160	112	586
161	113	586
162	113	584
163	114	581
164	114	580
165	115	579
166	115	578
167	116	576
168	116	573
169	117	573
170	118	572
171	118	570
172	118	567
173	119	565
174	119	564
175	120	563
176	121	563
177	121	561
178	122	561
179	123	560
180	123	559
181	124	557
182	124	556
183	125	555
184	125	553
185	126	552
186	126	551
187	127	550
188	127	549
189	128	547
190	128	544
191	129	543
192	129	540
193	130	540
194	130	539
195	131	538
196	131	536
197	132	536
198	133	536
199	133	534
200	134	534
201	135	533
202	135	532
203	136	533
204	137	532
205	138	532
206	138	531
207	139	531
208	139	529
209	140	528
210	141	528
211	141	526
212	142	525
213	142	524
214	143	524
215	144	524
216	145	523
217	145	522
218	146	520
219	146	519
220	147	518
221	147	518
222	148	518
223	149	517
224	149	516
225	150	515
226	151	514
227	151	513
228	151	511
229	152	509
230	152	509
231	153	508
232	154	507
233	155	507
234	156	508
235	156	507
236	157	507
237	158	506
238	159	506
239	160	507
240	161	507
241	162	508
242	163	507
243	163	506
244	164	505
245	164	504
246	165	503
247	165	502
248	166	502
249	166	500
250	167	500
251	168	499
252	169	499
253	169	498
254	170	497
255	171	497
256	171	496
257	172	494
258	172	493
259	173	492
260	174	492
261	174	492
262	175	491
263	176	491
264	177	491
265	177	490
266	178	489
267	179	489
268	180	489
269	180	488
270	181	487
271	182	487
272	182	487
273	183	486
274	184	486
275	185	487
276	186	486
277	186	485
278	188	485
279	188	485
280	189	485
281	190	485
282	191	484
283	191	483
284	192	482
285	193	482
286	194	482
287	194	481
288	195	480
289	196	480
290	196	479
291	197	479
292	198	478
293	199	478
294	200	478
295	200	477
296	201	477
297	202	476
298	202	475
299	203	475
300	204	475
301	205	475
302	206	475
303	207	474
304	208	474
305	208	473
306	209	472
307	210	471
308	210	471
309	212	472
310	213	472
311	214	472
312	214	471
313	215	471
314	216	470
315	217	469
316	217	469
317	218	468
318	219	468
319	220	467
320	220	467
321	221	467
322	222	466
323	223	466
324	224	465
325	225	465
326	226	465
327	226	464
328	227	464
329	229	465
330	230	465
331	230	464
332	231	463
333	232	463
334	232	462
335	233	461
336	234	460
337	234	460
338	236	460
339	237	460
340	237	459
341	238	458
342	238	457
343	239	456
344	240	455
345	240	455
346	241	454
347	242	453
348	242	453
349	243	452
350	244	451
351	244	450
352	245	449
353	246	448
354	246	448
355	247	447
356	247	446
357	248	446
358	249	445
359	250	444
360	250	443
361	251	442
362	251	441
363	252	441
364	253	440
365	254	441
366	255	440
367	256	440
368	256	439
369	257	438
370	258	438
371	259	437
372	259	436
373	260	436
374	261	435
375	261	434
376	262	433
377	263	433
378	263	432
379	264	431
380	265	430
381	266	430
382	266	429
383	267	429
384	268	428
385	269	428
386	269	427
387	270	426
388	271	425
389	272	425
390	272	424
391	273	424
392	274	423
393	275	422
394	275	422
395	276	421
396	277	420
397	277	420
398	278	419
399	279	418
400	280	418
401	280	417
402	281	417
403	282	416
404	283	415
405	284	416
406	285	415
407	285	414
408	286	414
409	287	413
410	288	412
411	288	412
412	289	411
413	290	410
414	290	409
415	291	409
416	292	408
417	293	408
418	293	407
419	294	406
420	295	406
421	296	405
422	296	404
423	297	404
424	298	403
425	298	402
426	299	402
427	300	401
428	301	400
429	302	400
430	302	399
431	303	399
432	304	398
433	304	397
434	305	396
435	306	396
436	307	395
437	307	395
438	308	394
439	309	393
440	310	393
441	311	392
442	311	391
443	312	391
444	313	390
445	313	389
446	314	389
447	315	388
448	316	388
449	317	387
450	317	386
451	318	386
452	319	385
453	320	384
454	320	384
455	322	384
456	322	383
457	323	382
458	324	382
459	325	381
460	326	381
461	326	380
462	327	380
463	328	379
464	329	379
465	330	378
466	331	378
467	332	377
468	333	377
469	334	376
470	334	376
471	335	375
472	336	374
473	337	374
474	338	373
475	338	372
476	339	372
477	340	372
478	341	371
479	342	370
480	342	369
481	343	369
482	344	368
483	345	368
484	346	367
485	347	367
486	347	366
487	348	365
488	349	365
489	350	364
490	350	363
491	351	362
492	351	361
493	352	361
494	353	360
495	353	359
496	354	358
497	355	358
498	356	357
499	356	356
500	357	356
501	358	355
502	359	354
503	359	354
504	360	353
505	361	353
506	362	352
507	363	351
508	364	351
509	364	350
510	365	349
511	366	349
512	367	348
513	367	347
514	368	346
515	369	346
516	370	345
517	370	344
518	371	344
519	372	343
520	373	343
521	373	342
522	374	341
523	375	341
524	376	340
525	377	339
526	377	339
527	378	338
528	379	337
529	379	336
530	380	336
531	381	335
532	381	334
533	382	333
534	382	332
535	383	331
536	384	331
537	384	330
538	385	329
539	386	329
540	387	329
541	388	328
542	389	327
543	390	327
544	391	326
545	391	325
546	392	325
547	393	324
548	394	323
549	394	323
550	395	322
551	396	321
552	397	321
553	398	320
554	398	319
555	399	319
556	400	318
557	401	317
558	402	317
559	403	317
560	404	316
561	405	316
562	406	315
563	406	314
564	407	314
565	408	313
566	409	312
567	410	311
568	411	311
569	411	310
570	412	310
571	413	309
572	414	308
573	415	308
574	415	307
575	416	306
576	417	306
577	418	305
578	419	304
579	420	304
580	420	303
581	421	302
582	421	301
583	422	300
584	423	300
585	423	299
586	424	298
587	424	297
588	425	297
589	426	296
590	427	295
591	428	295
592	429	294
593	429	293
594	430	293
595	431	292
596	432	291
597	432	290
598	433	290
599	434	289
600	435	289
601	436	288
602	436	287
603	437	286
604	438	286
605	439	285
606	440	284
607	440	284
608	441	283
609	442	282
610	443	282
611	444	281
612	445	280
613	445	280
614	446	279
615	447	278
616	448	278
617	448	277
618	449	276
619	450	275
620	450	275
621	451	274
622	452	274
623	453	273
624	454	272
625	454	271
626	455	271
627	456	270
628	457	269
629	458	269
630	459	268
631	459	267
632	460	267
633	461	266
634	462	265
635	463	265
636	464	264
637	465	263
638	465	263
639	466	262
640	467	261
641	468	260
642	468	260
643	469	259
644	470	258
645	471	258
646	471	257
647	472	256
648	473	256
649	474	255
650	475	254
651	475	253
652	476	253
653	477	252
654	477	251
655	478	250
656	479	250
657	479	249
658	480	248
659	481	248
660	482	247
661	483	246
662	483	245
663	484	245
664	485	244
665	486	243
666	486	243
667	487	242
668	488	241
669	488	240
670	489	240
671	490	239
672	490	238
673	491	237
674	492	237
675	493	236
676	493	235
677	494	234
678	495	234
679	495	233
680	496	232
681	497	231
682	497	231
683	498	230
684	499	229
685	500	228
686	500	228
687	501	227
688	502	226
689	504	226
690	505	225
691	506	225
692	507	224
693	509	224
694	510	223
695	511	223
696	512	222
697	513	222
