iter	RMSE
0	39.58165222
1	36.47758109
2	33.43697904
3	31.0435649
4	28.65105147
5	26.52269066
6	24.44082258
7	22.57278312
8	20.70060053
9	19.03372307
10	17.60106055
11	16.3330227
12	15.18597148
13	14.03155074
14	13.07547949
15	12.12480295
16	11.24730336
17	10.4893942
18	9.789687509
19	9.084496546
20	8.524325436
21	7.987207548
22	7.472245751
23	7.007241831
24	6.594656217
25	6.200466197
26	5.830977051
27	5.507800801
28	5.192499594
29	4.922173083
30	4.659885969
31	4.433980314
32	4.227732889
33	4.035708488
34	3.890492776
35	3.714484247
36	3.557044092
37	3.451825337
38	3.346224516
39	3.23053742
40	3.139792001
41	3.05672716
42	3.028129101
43	2.997179146
44	2.907035177
45	2.885402656
46	2.822245084
47	2.757751051
48	2.739079997
49	2.679200858
50	2.648110783
51	2.612938009
52	2.556371777
53	2.529459122
54	2.513051611
55	2.478538807
56	2.443777096
57	2.410154171
58	2.391602801
59	2.379534297
60	2.36879232
61	2.340200001
62	2.32478739
63	2.310809266
64	2.302007143
65	2.266189419
66	2.255797927
67	2.226893734
68	2.216300831
69	2.208332749
70	2.195829251
71	2.188748327
72	2.170514027
73	2.147533558
74	2.141272383
75	2.125984731
76	2.092111972
77	2.083563006
78	2.078221428
79	2.070402365
80	2.065458597
81	2.060936973
82	2.029925845
83	2.00405804
84	1.997062551
85	1.992372007
86	1.966422268
87	1.960749309
88	1.932457855
89	1.927294769
90	1.923378829
91	1.919498053
92	1.89978814
93	1.875251545
94	1.872345536
95	1.840687501
96	1.832712365
97	1.826072016
98	1.802441476
99	1.774963621
